LAMMPS (29 Sep 2021 - Update 1)
KOKKOS mode is enabled (../kokkos.cpp:97)
  will use up to 1 GPU(s) per node
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (0.0000000 0.0000000 0.0000000) to (4143.0751 57.106480 57.106480)
  64 by 1 by 1 MPI processor grid
  reading atoms ...
  360800 atoms
  read_data CPU = 5.052 seconds
800 atoms in group source
800 atoms in group detector
400 atoms in group edge
400 atoms in group edge_buf
120000 atoms in group buffer
WARNING: Using 'neigh_modify every 1 delay 0 check yes' setting during minimization (../min.cpp:188)
Neighbor list info ...
  update every 1 steps, delay 0 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 7.6
  ghost atom cutoff = 7.6
  binsize = 7.6, bins = 546 8 8
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair eam/alloy/kk, perpetual
      attributes: full, newton off, kokkos_device
      pair build: full/bin/kk/device
      stencil: full/bin/3d
      bin: kk/device
Setting up cg/kk style minimization ...
  Unit style    : metal
  Current step  : 0
WARNING: Fixes cannot yet send exchange data in Kokkos communication, switching to classic exchange/border communication (../comm_kokkos.cpp:581)
Per MPI rank memory allocation (min/avg/max) = 2.376 | 4.616 | 9.668 Mbytes
Time Step Lx Pxx Pxy Pxz Ly Lz Pyy Pzz Pyz 
       0.132      132    4143.0751    0.3544727 -7.2618069e-13 -1.233025e-12     57.10648     57.10648   -97.951297   -97.951297 3.0189799e-13 
       0.133      133    4143.0751   0.35345297 -9.7679254e-13 -1.6578841e-12     57.10648     57.10648   -97.951902   -97.951902 3.2838792e-13 
       0.134      134    4143.0751   0.35242964 -1.0465359e-12 -1.694961e-12     57.10648     57.10648   -97.952514   -97.952514 6.6716448e-13 
       0.135      135    4143.0751   0.35143565 -8.6284998e-13 -1.315947e-12     57.10648     57.10648   -97.953109   -97.953109 6.9318104e-13 
       0.136      136    4143.0751    0.3504135 -1.0382532e-12 -1.2907901e-12     57.10648     57.10648   -97.953718   -97.953718 6.5086755e-13 
       0.137      137    4143.0751    0.3494354 -1.1771098e-12 -1.4398491e-12     57.10648     57.10648   -97.954298   -97.954298 7.8632329e-13 
       0.138      138    4143.0751     0.348469 -9.1221278e-13 -8.1224184e-13     57.10648     57.10648   -97.954872   -97.954872 6.6705147e-13 
       0.139      139    4143.0751   0.34743748 -5.9097597e-13 -7.4792757e-13     57.10648     57.10648   -97.955489   -97.955489 6.2243446e-13 
        0.14      140    4143.0751   0.34646052 -5.5328096e-13 -1.006966e-12     57.10648     57.10648   -97.956074   -97.956074 6.2140125e-13 
       0.141      141    4143.0751   0.34548506 -2.6602384e-13 -9.8496382e-13     57.10648     57.10648   -97.956654   -97.956654 4.9438873e-13 
       0.142      142    4143.0751   0.34449235 -3.2926677e-13 -1.0974098e-12     57.10648     57.10648   -97.957243   -97.957243 4.7789049e-13 
       0.143      143    4143.0751   0.34353243 -6.4933965e-13 -1.1666059e-12     57.10648     57.10648   -97.957814   -97.957814 5.016664e-13 
       0.144      144    4143.0751   0.34255289 -8.1220117e-13 -1.123709e-12     57.10648     57.10648   -97.958401   -97.958401 2.9329177e-13 
       0.145      145    4143.0751   0.34155884 -9.3619845e-13 -1.5159555e-12     57.10648     57.10648   -97.958995   -97.958995 2.3390819e-13 
       0.146      146    4143.0751   0.34060409 -9.7630972e-13 -1.9353264e-12     57.10648     57.10648   -97.959562   -97.959562 3.7790599e-13 
       0.147      147    4143.0751   0.33966417 -8.971615e-13 -1.1894947e-12     57.10648     57.10648    -97.96012    -97.96012 3.3343795e-13 
       0.148      148    4143.0751    0.3386798 -5.7188047e-13 -9.522527e-13     57.10648     57.10648   -97.960706   -97.960706 9.9151462e-14 
       0.149      149    4143.0751   0.33772387 -7.0414882e-13 -1.3502978e-12     57.10648     57.10648   -97.961279   -97.961279 1.550294e-13 
