LAMMPS (29 Sep 2021 - Update 1)
KOKKOS mode is enabled (../kokkos.cpp:97)
  will use up to 2 GPU(s) per node
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (0.0000000 0.0000000 0.0000000) to (436.86457 57.106480 57.106480)
  16 by 2 by 2 MPI processor grid
  reading atoms ...
  120800 atoms
  read_data CPU = 0.217 seconds
800 atoms in group source
800 atoms in group detector
0 atoms in group edge
0 atoms in group edge_buf
0 atoms in group buffer
WARNING: Using 'neigh_modify every 1 delay 0 check yes' setting during minimization (../min.cpp:188)
Neighbor list info ...
  update every 1 steps, delay 0 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 7.6
  ghost atom cutoff = 7.6
  binsize = 7.6, bins = 58 8 8
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair eam/alloy/kk, perpetual
      attributes: full, newton off, kokkos_device
      pair build: full/bin/kk/device
      stencil: full/bin/3d
      bin: kk/device
Setting up cg/kk style minimization ...
  Unit style    : metal
  Current step  : 0
WARNING: Fixes cannot yet send exchange data in Kokkos communication, switching to classic exchange/border communication (../comm_kokkos.cpp:581)
Per MPI rank memory allocation (min/avg/max) = 2.301 | 2.470 | 2.508 Mbytes
Time Step Lx Pxx Pxy Pxz Ly Lz Pyy Pzz Pyz TotEng Temp Volume 
       0.101      101    436.86457    1.4174517 1.6835887e-11 1.9390013e-12     57.10648     57.10648   -931.01179   -931.01179 -4.5044194e-12    -497263.4            0    1424680.9 
       0.102      102    436.86457    1.4060374 1.0769336e-11 9.1786641e-12     57.10648     57.10648   -931.01858   -931.01858 -1.2626928e-11    -497263.4            0    1424680.9 
       0.103      103    436.86457    1.3941389 2.9200767e-12 5.7971799e-12     57.10648     57.10648   -931.02562   -931.02562 -1.9902299e-11    -497263.4            0    1424680.9 
       0.104      104    436.86457    1.3825883 6.8121828e-12 1.0525359e-11     57.10648     57.10648   -931.03248   -931.03248 -3.0667699e-11    -497263.4            0    1424680.9 
       0.105      105    436.86457    1.3712003 3.4584832e-12 1.3056457e-11     57.10648     57.10648   -931.03931   -931.03931 -2.1518103e-11    -497263.4            0    1424680.9 
       0.106      106    436.86457    1.3594483 2.0006906e-12 8.2747842e-12     57.10648     57.10648   -931.04635   -931.04635 -1.3327479e-11    -497263.4            0    1424680.9 
       0.107      107    436.86457    1.3480736 6.8193694e-12 1.055835e-11     57.10648     57.10648   -931.05311   -931.05311 -1.5756175e-11    -497263.4            0    1424680.9 
       0.108      108    436.86457    1.3374651 2.7349925e-12 5.0735322e-12     57.10648     57.10648   -931.05939   -931.05939 -5.2069165e-12    -497263.4            0    1424680.9 
       0.109      109    436.86457     1.326131 -1.1885997e-12 2.1470487e-12     57.10648     57.10648   -931.06613   -931.06613 4.4091782e-12    -497263.4            0    1424680.9 
        0.11      110    436.86457    1.3148013 1.4878779e-12 7.2506836e-12     57.10648     57.10648   -931.07293   -931.07293 -1.5420222e-12    -497263.4            0    1424680.9 
       0.111      111    436.86457    1.3042206 2.5992649e-12 5.988412e-12     57.10648     57.10648   -931.07926   -931.07926 -8.8228831e-12    -497263.4            0    1424680.9 
       0.112      112    436.86457    1.2930927 5.4096131e-12 1.9963001e-12     57.10648     57.10648   -931.08587   -931.08587 -2.7006026e-12    -497263.4            0    1424680.9 
       0.113      113    436.86457    1.2827778 1.4117944e-11 -1.1487578e-12     57.10648     57.10648   -931.09197   -931.09197 5.8401847e-12    -497263.4            0    1424680.9 
       0.114      114    436.86457    1.2734195 7.2721929e-12 -2.9829284e-12     57.10648     57.10648   -931.09756   -931.09756 6.9432789e-12    -497263.4            0    1424680.9 
       0.115      115    436.86457    1.2653738 -2.8304348e-12 -7.3382478e-12     57.10648     57.10648   -931.10239   -931.10239 4.1418908e-12    -497263.4            0    1424680.9 
       0.116      116    436.86457    1.2606345 -5.4866405e-12 -1.2603033e-11     57.10648     57.10648   -931.10522   -931.10522 4.2743551e-12    -497263.4            0    1424680.9 
       0.117      117    436.86457    1.2584222 -9.6767447e-12 -1.6058137e-11     57.10648     57.10648   -931.10652   -931.10652 1.2578416e-12    -497263.4            0    1424680.9 
       0.118      118    436.86457     1.257341 -1.1631547e-11 -1.5485705e-11     57.10648     57.10648   -931.10715   -931.10715 -3.3678611e-13    -497263.4            0    1424680.9 
       0.119      119    436.86457    1.2563458 -1.1581423e-11 -1.6180283e-11     57.10648     57.10648   -931.10775   -931.10775 2.750864e-13    -497263.4            0    1424680.9 
        0.12      120    436.86457    1.2537355 -1.2731949e-11 -1.465701e-11     57.10648     57.10648   -931.10932   -931.10932 -2.8320122e-12    -497263.4            0    1424680.9 
       0.121      121    436.86457    1.2377481 -9.9954765e-12 6.3941486e-12     57.10648     57.10648   -931.11889   -931.11889 -2.1448606e-11    -497263.4            0    1424680.9 
       0.122      122    436.86457    1.1196922 8.9822234e-11 2.2618849e-10     57.10648     57.10648   -931.18925   -931.18925 -1.9161915e-10    -497263.4            0    1424680.9 
       0.123      123    436.86457   0.56548972 -2.9907264e-10 5.9333137e-10     57.10648     57.10648   -931.51933   -931.51933 -5.5023688e-10    -497263.4            0    1424680.9 
       0.124      124    436.86457  0.084283472 -9.5470974e-10 -2.2463129e-10     57.10648     57.10648   -931.80603   -931.80603 -1.4654502e-10    -497263.4            0    1424680.9 
       0.125      125    436.86457  0.014934041 -1.0606813e-09 -5.5509103e-10     57.10648     57.10648   -931.84743   -931.84743 -1.7030888e-11    -497263.4            0    1424680.9 
       0.126      126    436.86457  0.007113915 -9.9885971e-10 -5.7679986e-10     57.10648     57.10648   -931.85214   -931.85214 -2.3392667e-12    -497263.4            0    1424680.9 
       0.127      127    436.86457 0.0045458667 -8.6251342e-10 -5.4458652e-10     57.10648     57.10648   -931.85369   -931.85369 -1.9335429e-12    -497263.4            0    1424680.9 
